Identifier	Change_name	Change_type	Species	Gender	Age_start	Age_end	Description	Tissues	Gene	Properties	Type_of_data	Process_measured	Sample_size	Method_of_collection	Data_transforms	Percentage_change	P_value	Coefficiant	Intercept	Relationship_parent_identifiers	References
DAA1966	Alox5 arachidonate 5-lipoxygenase (5-LOX) promoter methylation increase	molecular	Mus musculus	male	2	22	5-LOX promoter-5’UTR DNA methylation increased in hippocampusfrom age 2 to 22 month.	Hippocampus													2715: Dzitoyeva et al. (2009) "5-Lipoxygenase DNA methylation and mRNA content in the brain and heart of young and old mice."  Neural Plast. 2009:209596 (20052386)
DAA269	alpha-kinase 2	molecular	Homo sapiens	male/female	27	92		Kidney	ALPK2 (alpha-kinase 2)		equation	Gene Expression Level	0	Microarray	Log	20.0	0.0005572993763613800000000				2993: Rodwell et al. (2004) "A transcriptional profile of aging in the human kidney."  PLoS Biol. 2(12):e427 (15562319)
DAA475	alpha-kinase 3	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	ALPK3 (alpha-kinase 3)		equation	Gene Expression Level	0	Microarray	Log	6.0	0.0000037095257859831800000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)|2841: Welle et al. (2003) "Gene expression profile of aging in human muscle."  Physiol. Genomics 14(2):149-159 (12783983)
DAA2035	Alterations in frequency, developmental potential and gene expression profile in hematopoietic stem cells	physiological	Homo sapiens	male/female	20	85	With age, human hematopoietic stem cells increase in frequency, are less quiescent, and exhibit myeloid-biased differentiation potential. The gene expression profile is also altered, genes associated with cell cycle, myeloid lineage specification, and myeloid malignancies, being transcriptionally up-regulated. 	Hematopoietic Stem Cells													2761: Pang et al. (2011) "Human bone marrow hematopoietic stem cells are increased in frequency and myeloid-biased with age."  Proc. Natl. Acad. Sci. U.S.A. 108(50):20012-20017 (22123971)
DAA2033	Alterations in structural proteins and cell membranes in the lenses	physiological	Homo sapiens	male/female	-1	-1	With age, there are alterations in the structural proteins and the cell membranes of the lenses.	Lens													2814: Truscott and Zhu (2010) "Presbyopia and cataract: a question of heat and time."  Prog Retin Eye Res 29(6):487-499 (20472092)
DAA2041	Altered brain mitochondrial metabolism	physiological	Homo sapiens	male/female	-1	-1	Compared with young subjects, neuronal mitochondrial metabolism and glutamate–glutamine cycle flux is ∼30% lower in elderly subjects. The reduction in individual subjects correlates strongly with reductions in N-acetylaspartate and glutamate concentrations consistent with chronic reductions in brain mitochondrial function. In elderly subjects age-related changes are observed in glial mitochondrial metabolism. 	Brain													2941: Boumezbeur et al. (2010) "Altered brain mitochondrial metabolism in healthy aging as assessed by in vivo magnetic resonance spectroscopy."  J. Cereb. Blood Flow Metab. 30(1):211-221 (19794401)
DAA2054	Altered cardiovascular response during heating	physiological	Homo sapiens	male/female	-1	-1	The cardiovascular responses of older men during direct passive heating were characterized by a smaller increase in cardiac output as well as less redistribution of blood flow from the splanchnic and renal circulations, when compared with young individuals. 	Cardiovascular System													2700: Minson et al. (1998) "Age alters the cardiovascular response to direct passive heating."  J. Appl. Physiol. 84(4):1323-1332 (9516200)
DAA2031	Altered concentration of sodium, potassium and calcium	physiological	Homo sapiens	male/female	20	80	The lens membrane potential and resistance declines markedly with age while internal Na+ and free Ca2+ increases. A concomitant stimulation of Na+ and K+ transmembrane fluxes exists. The increase in permeability also coincides with the increase in optical density that occurs in the ageing human lens.	Lens													2669: Duncan et al. (1989) "Human lens membrane cation permeability increases with age."  Invest. Ophthalmol. Vis. Sci. 30(8):1855-1859 (2759800)
DAA748	Altered sleep parameters and patterns	psychological	Homo sapiens	male	-1	-1	Older men reported higher number of nocturnal awakenings.	Brain													2685: Baehr et al. (2000) "Individual differences in the phase and amplitude of the human circadian temperature rhythm: with an emphasis on morningness-eveningness."  J Sleep Res 9(2):117-127 (10849238)|2717: Landolt et al. (1996) "Effect of age on the sleep EEG: slow-wave activity and spindle frequency activity in young and middle-aged men."  Brain Res. 738(2):205-212 (8955514)
DAA815	Alveolar duct size increases	physiological	Homo sapiens	male	-1	-1	Age-related morphological changes in lung tissue result in increased alveolar duct size.	Alveolus													2655: Whitbourne, S. K. (1985) "The Aging Body: Physiological Changes and Psychological Consequences" 
DAA797	Alveoli's ability decreases	physiological	Homo sapiens	male/female	-1	-1	Alveoli's ability to remain open during expiration decreases with age.	Alveolus													2948: Arking, R. (2006) "Biology of Aging: Observations and Principles" 164
DAA615	Alzheimer's disease	pathological	Homo sapiens	male/female	18	85	Alzheimer's disease (AD) is a form of dementia whose incidence is strongly age-related. According to Hebert et al., AD is about 14 times more common in individuals 85 years and older than in individuals 65 to 69 years of age.	Brain				Morbidity	0			None	None				2673:  (1996) "Alzheimer's Disease: Cause(s), Diagnosis, Treatment, and Care" |2737: Hebert et al. (1995) "Age-specific incidence of Alzheimer's disease in a community population."  JAMA 273(17):1354-1359 (7715060)|2801: Center for Disease Control and Prevention (2006) "Mortality by underlying and multiple cause, ages 18+: US, 1981-2006 (Source: NVSS) (2006 data only)"  (http://www.cdc.gov/nchs/hdi.htm)
DAA1696	amiloride-sensitive cation channel 1, neuronal (degenerin)	molecular	Mus musculus	male/female	2	26		Lung	Accn1 (amiloride-sensitive cation channel 1, neuronal (degenerin))		equation	Gene Expression Level	20	Microarray	Log2	57.0	0.0002259335967321040000000				2785: Misra et al. (2007) "Global expression profiles from C57BL/6J and DBA/2J mouse lungs to determine aging-related genes."  Physiol. Genomics 31(3):429-440 (17726092)
DAA347	aminolevulinate, delta-, synthase 1	molecular	Homo sapiens	male/female	20	75		Skeletal Muscle	ALAS1 (aminolevulinate, delta-, synthase 1)		equation	Gene Expression Level	0	Microarray	Log	-4.0	0.0001956951343115840000000				2828: Welle et al. (2004) "Skeletal muscle gene expression profiles in 20-29 year old and 65-71 year old women."  Exp. Gerontol. 39(3):369-377 (15036396)|2841: Welle et al. (2003) "Gene expression profile of aging in human muscle."  Physiol. Genomics 14(2):149-159 (12783983)
DAA1567	AMME chromosomal region gene 1-like	molecular	Mus musculus	male/female	2	26		Lung	Ammecr1l (AMME chromosomal region gene 1-like)		equation	Gene Expression Level	20	Microarray	Log2	-2.0	0.0000207813600228304000000				2785: Misra et al. (2007) "Global expression profiles from C57BL/6J and DBA/2J mouse lungs to determine aging-related genes."  Physiol. Genomics 31(3):429-440 (17726092)
DAA2394	AMP-activated protein kinase; non-catalytic gamma-3 subunit decreases with age	molecular	Homo sapiens	female	6	73	Comparison of DNA methylation showed a significantly decreased methylation level of PRKAG3 in dermal fibroblasts from elderly women (aged 60-73 years old) compared to cells from younger women (aged 6-23 years old)	Dermis	PRKAG3 (protein kinase, AMP-activated, gamma 3 non-catalytic subunit)			DNA Methylation	None	None	None	-17.8	None				2751: Koch et al. (2011) "Specific age-associated DNA methylation changes in human dermal fibroblasts."  PLoS ONE 6(2):e16679 (21347436)
DAA2395	AMP-activated protein kinase; non-catalytic gamma-3 subunit decreases with age	molecular	Homo sapiens	female	6	73	Comparison of DNA methylation showed a significantly decreased methylation level of PRKAG3 in dermal fibroblasts from elderly women (aged 60-73 years old) compared to cells from younger women (aged 6-23 years old)	Dermis	PRKAG3 (protein kinase, AMP-activated, gamma 3 non-catalytic subunit)			DNA Methylation	None	None	None	-20.1	0.0220000000000000000000000				2751: Koch et al. (2011) "Specific age-associated DNA methylation changes in human dermal fibroblasts."  PLoS ONE 6(2):e16679 (21347436)
DAA2443	AMP-activated protein kinase; non-catalytic gamma-3 subunit decreases with age	molecular	Homo sapiens	male/female	21	85	Comparison of DNA methylation showed a significantly decreased methylation level of PRKAG3 in bone marrow mesenchymal stem cells obtained from elderly donors (aged 53-85 years old) compared to cells from younger donors (aged 21-50 years old)	Mesenchymal Stem Cell	PRKAG3 (protein kinase, AMP-activated, gamma 3 non-catalytic subunit)			DNA Methylation	None	None	None	-15.1	None				2751: Koch et al. (2011) "Specific age-associated DNA methylation changes in human dermal fibroblasts."  PLoS ONE 6(2):e16679 (21347436)
DAA2444	AMP-activated protein kinase; non-catalytic gamma-3 subunit decreases with age	molecular	Homo sapiens	male/female	21	85	Comparison of DNA methylation showed a significantly decreased methylation level of PRKAG3 in bone marrow mesenchymal stem cells obtained from elderly donors (aged 53-85 years old) compared to cells from younger donors (aged 21-50 years old)	Mesenchymal Stem Cell	PRKAG3 (protein kinase, AMP-activated, gamma 3 non-catalytic subunit)			DNA Methylation	None	None	None	-20.1	None				2751: Koch et al. (2011) "Specific age-associated DNA methylation changes in human dermal fibroblasts."  PLoS ONE 6(2):e16679 (21347436)
DAA1722	amylase 1, salivary	molecular	Mus musculus	male/female	8	24		Muscle	Amy1 (amylase 1, salivary)		equation	Gene Expression Level	20	Microarray	Log2	12.0	0.0001868046418603390000000				2651: Beggs et al. (2004) "Alterations in the TGFbeta signaling pathway in myogenic progenitors with age."  Aging Cell 3(6):353-361 (15569352)
DAA267	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein	molecular	Homo sapiens	male/female	27	92		Kidney	APBB1IP (amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein)		equation	Gene Expression Level	0	Microarray	Log	23.0	0.0005073475483626080000000				2993: Rodwell et al. (2004) "A transcriptional profile of aging in the human kidney."  PLoS Biol. 2(12):e427 (15562319)
DAA2100	anaphase promoting complex subunit 4 decreases with age	molecular	Homo sapiens	female	-1	-1	Gene expression showed a significant (p<E-3) decrease in the expression of ANAPC4 in oocytes donated from older women (aged 37-39 years - both inclusive) compared to oocytes from younger women (aged 25-35 years)	Ovary	ANAPC4 (anaphase promoting complex subunit 4)			Gene Expression Level	None	None	None	-35.48	0.0074200000000000000000000				2714: Grøndahl et al. (2010) "Gene expression profiles of single human mature oocytes in relation to age."  Hum. Reprod. 25(4):957-968 (20147335)
DAA612	Anemia	pathological	Homo sapiens	male/female	18	85		Blood				Morbidity	0			None	None				2801: Center for Disease Control and Prevention (2006) "Mortality by underlying and multiple cause, ages 18+: US, 1981-2006 (Source: NVSS) (2006 data only)"  (http://www.cdc.gov/nchs/hdi.htm)
DAA2119	angel homolog 2 (Drosophila) decreases with age	molecular	Homo sapiens	female	-1	-1	Gene expression showed a significant (p<E-3) decrease in the expression of ANGEL2 in oocytes donated from older women (aged 37-39 years - both inclusive) compared to oocytes from younger women (aged 25-35 years)	Ovary	ANGEL2 (angel homolog 2 (Drosophila))			Gene Expression Level	None	None	None	-65.28	0.0036200000000000000000000				2714: Grøndahl et al. (2010) "Gene expression profiles of single human mature oocytes in relation to age."  Hum. Reprod. 25(4):957-968 (20147335)
DAA8	angiomotin	molecular	Homo sapiens	male/female	26	106		Brain	AMOT (angiomotin)		equation	Gene Expression Level	0	Microarray	Log	10.0	0.0005787951216677310000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA1723	angiopoietin 1	molecular	Mus musculus	male/female	8	24		Muscle	Angpt1 (angiopoietin 1)		equation	Gene Expression Level	20	Microarray	Log2	-16.0	0.0009477513586514350000000				2651: Beggs et al. (2004) "Alterations in the TGFbeta signaling pathway in myogenic progenitors with age."  Aging Cell 3(6):353-361 (15569352)
DAA9	ankyrin 2, neuronal	molecular	Homo sapiens	male/female	26	106		Brain	ANK2 (ankyrin 2, neuronal)		equation	Gene Expression Level	0	Microarray	Log	-20.0	0.0000028300983670775200000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA1610	ankyrin repeat domain 26	molecular	Mus musculus	male/female	2	26		Lung	Ankrd26 (ankyrin repeat domain 26)		equation	Gene Expression Level	20	Microarray	Log2	-3.0	0.0005935749938148270000000				2785: Misra et al. (2007) "Global expression profiles from C57BL/6J and DBA/2J mouse lungs to determine aging-related genes."  Physiol. Genomics 31(3):429-440 (17726092)
DAA1394	annexin A2	molecular	Mus musculus	male/female	2	15		Hippocampus	Anxa2 (annexin A2)		equation	Gene Expression Level	20	Microarray	Log2	8.0	0.0000803844251454270000000				2706: Verbitsky et al. (2004) "Altered hippocampal transcript profile accompanies an age-related spatial memory deficit in mice."  Learn. Mem. 11(3):253-260 (15169854)
DAA1849	annexin A3	molecular	Mus musculus	male/female	5	25		Skeletal Muscle	Anxa3 (annexin A3)		equation	Gene Expression Level	20	Microarray	Log2	23.0	0.0004246555097322320000000				2648: NCBI GEO Dataset (2006) "Caloric restriction effect on aged skeletal muscle"  (http://www.ncbi.nlm.nih.gov/sites/GDSbrowser?acc=GDS2612)|2835: Edwards et al. (2007) "Gene expression profiling of aging reveals activation of a p53-mediated transcriptional program."  BMC Genomics 8:80 (17381838)
DAA11	annexin A4	molecular	Homo sapiens	male/female	26	106		Brain	ANXA4 (annexin A4)		equation	Gene Expression Level	0	Microarray	Log	11.0	0.0008755002825254650000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA1355	anthrax toxin receptor 2	molecular	Mus musculus	male/female	3	23		Hematological System	Antxr2 (anthrax toxin receptor 2)		equation	Gene Expression Level	20	Microarray	Log2	-15.0	0.0000864923456819175000000				2882: Rossi et al. (2005) "Cell intrinsic alterations underlie hematopoietic stem cell aging."  Proc. Natl. Acad. Sci. U.S.A. 102(26):9194-9199 (15967997)
DAA22	antizyme inhibitor 1	molecular	Homo sapiens	male/female	26	106		Brain	AZIN1 (antizyme inhibitor 1)		equation	Gene Expression Level	0	Microarray	Log	-11.0	0.0002495638255894200000000				2742: Lu et al. (2004) "Gene regulation and DNA damage in the ageing human brain."  Nature 429(6994):883-891 (15190254)
DAA629	Aortic aneurism and dissection	pathological	Homo sapiens	male/female	18	85		Aorta				Morbidity	0			None	None				2801: Center for Disease Control and Prevention (2006) "Mortality by underlying and multiple cause, ages 18+: US, 1981-2006 (Source: NVSS) (2006 data only)"  (http://www.cdc.gov/nchs/hdi.htm)
